Site,Instrument,Network,Species,file_format,source_format
MHD,medusa,AGAGE,,txt,GCWERKS
CGO,medusa,AGAGE,,txt,GCWERKS
GSN,medusa,AGAGE,,txt,GCWERKS
SDZ,medusa,AGAGE,,txt,GCWERKS
THD,medusa,AGAGE,,txt,GCWERKS
RPB,medusa,AGAGE,,txt,GCWERKS
SMO,medusa,AGAGE,,txt,GCWERKS
SIO,medusa,AGAGE,,txt,GCWERKS
JFJ,medusa,AGAGE,,txt,GCWERKS
CMN,medusa,AGAGE,,txt,GCWERKS
ZEP,medusa,AGAGE,,txt,GCWERKS
MHD,medusa,AGAGE,,nc,AGAGE
CGO,medusa,AGAGE,,nc,AGAGE
GSN,medusa,AGAGE,,nc,AGAGE
SDZ,medusa,AGAGE,,nc,AGAGE
THD,medusa,AGAGE,,nc,AGAGE
RPB,medusa,AGAGE,,nc,AGAGE
SMO,medusa,AGAGE,,nc,AGAGE
SIO,medusa,AGAGE,,nc,AGAGE
JFJ,medusa,AGAGE,,nc,AGAGE
CMN,medusa,AGAGE,,nc,AGAGE
ZEP,medusa,AGAGE,,nc,AGAGE
RPB,GCMD,AGAGE,,txt,GCWERKS
CGO,GCMD,AGAGE,,txt,GCWERKS
MHD,GCMD,AGAGE,,txt,GCWERKS
SMO,GCMD,AGAGE,,txt,GCWERKS
THD,GCMD,AGAGE,,txt,GCWERKS
RPB,GCMD,AGAGE,,nc,AGAGE
CGO,GCMD,AGAGE,,nc,AGAGE
MHD,GCMD,AGAGE,,nc,AGAGE
SMO,GCMD,AGAGE,,nc,AGAGE
THD,GCMD,AGAGE,,nc,AGAGE
CGO,GCMS,AGAGE,,txt,GCWERKS
MHD,GCMS,AGAGE,,txt,GCWERKS
RPB,GCMS,AGAGE,,txt,GCWERKS
SMO,GCMS,AGAGE,,txt,GCWERKS
THD,GCMS,AGAGE,,txt,GCWERKS
JFJ,GCMS,AGAGE,,txt,GCWERKS
CMN,GCMS,AGAGE,,txt,GCWERKS
ZEP,GCMS,AGAGE,,txt,GCWERKS
CGO,GCMS,AGAGE,,nc,AGAGE
MHD,GCMS,AGAGE,,nc,AGAGE
RPB,GCMS,AGAGE,,nc,AGAGE
SMO,GCMS,AGAGE,,nc,AGAGE
THD,GCMS,AGAGE,,nc,AGAGE
JFJ,GCMS,AGAGE,,nc,AGAGE
CMN,GCMS,AGAGE,,nc,AGAGE
ZEP,GCMS,AGAGE,,nc,AGAGE
BSD,GCMD,DECC,,,GCWERKS
HFD,GCMD,DECC,,,GCWERKS
TAC,GCMD,DECC,,,GCWERKS
RGL,GCMD,DECC,,,GCWERKS
TAC,medusa,DECC,,,GCWERKS
RPB,CRDS,AGAGE,,,CRDS
HFD,CRDS,DECC,,,CRDS
BSD,CRDS,DECC,,,CRDS
TTA,CRDS,DECC,,,CRDS
RGL,CRDS,DECC,,,CRDS
TAC,CRDS,DECC,,,CRDS
NPL,,LGHG,,,NPL
BTT,,LGHG,,,BTT
TMB,,LGHG,,,THAMESBARRIER
